,freqs,usess,value
390,"1885,00 – 1900,00","FIX
MOBIL  5.388A
5.388",1
391,"1900,00 – 1930,00",MOBIL  5.388A,1
392,"1900,00 – 1930,00",5.388,1
393,"1930,00 – 1970,00",MOBIL  5.388A,1
394,"1930,00 – 1970,00",5.388,1
395,"1970,00 – 1980,00",MOBIL  5.388A,1
396,"1970,00 – 1980,00",5.388,1
397,"1980,00 – 2010,00","MOBIL
MOBIL PRIN SATELIT (Pământ–
spaţiu) 5.351A Fix
5.388  5.389A",1
398,"2010,00 – 2025,00","MOBIL  5.388A
Fix",1
399,"2010,00 – 2025,00",5.388,1
